================================================== stage: s1-init ==================================================
---------------------------------- mission: M11408BC424, driver: driver1 ----------------------------------
2024-03-06 17:22:00,687 [INFO] [NoneStorage] - performing PUT at /V4PVO10/myobjects218
2024-03-06 17:22:00,934 [INFO] [NoneStorage] - performing PUT at /V4PVO11/myobjects219
2024-03-06 17:22:00,954 [INFO] [NoneStorage] - performing PUT at /V4PVO12/myobjects220
2024-03-06 17:22:01,091 [INFO] [NoneStorage] - performing PUT at /V4PVO13/myobjects221
2024-03-06 17:22:01,105 [INFO] [NoneStorage] - performing PUT at /V4PVO1/myobjects222
2024-03-06 17:22:01,107 [INFO] [NoneStorage] - performing PUT at /V4PVO2/myobjects223
2024-03-06 17:22:01,316 [INFO] [NoneStorage] - performing PUT at /V4PVO3/myobjects224
2024-03-06 17:22:01,390 [INFO] [NoneStorage] - performing PUT at /V4PVO4/myobjects225
2024-03-06 17:22:01,488 [INFO] [NoneStorage] - performing PUT at /V4PVO5/myobjects226
2024-03-06 17:22:01,488 [INFO] [NoneStorage] - performing PUT at /V4PVO7/myobjects228
2024-03-06 17:22:01,488 [INFO] [NoneStorage] - performing PUT at /V4PVO6/myobjects227
2024-03-06 17:22:01,610 [INFO] [NoneStorage] - performing PUT at /V4PVO8/myobjects229
2024-03-06 17:22:01,815 [INFO] [NoneStorage] - performing PUT at /V4PVO9/myobjects230
2024-03-06 17:22:01,822 [INFO] [NoneStorage] - performing PUT at /V4PVO10/myobjects231
2024-03-06 17:22:02,073 [INFO] [NoneStorage] - performing PUT at /V4PVO11/myobjects232
2024-03-06 17:22:02,077 [INFO] [NoneStorage] - performing PUT at /V4PVO12/myobjects233
2024-03-06 17:22:02,170 [INFO] [NoneStorage] - performing PUT at /V4PVO13/myobjects234
2024-03-06 17:22:02,174 [INFO] [NoneStorage] - performing PUT at /V4PVO1/myobjects235
2024-03-06 17:22:02,230 [INFO] [NoneStorage] - performing PUT at /V4PVO2/myobjects236
2024-03-06 17:22:02,338 [INFO] [NoneStorage] - performing PUT at /V4PVO3/myobjects237
2024-03-06 17:22:02,370 [INFO] [NoneStorage] - performing PUT at /V4PVO4/myobjects238
2024-03-06 17:22:02,482 [INFO] [NoneStorage] - performing PUT at /V4PVO5/myobjects239
2024-03-06 17:22:02,504 [INFO] [NoneStorage] - performing PUT at /V4PVO6/myobjects240
2024-03-06 17:22:02,505 [INFO] [NoneStorage] - performing PUT at /V4PVO7/myobjects241
2024-03-06 17:22:02,544 [INFO] [NoneStorage] - performing PUT at /V4PVO8/myobjects242
2024-03-06 17:22:02,629 [INFO] [NoneStorage] - performing PUT at /V4PVO9/myobjects243
2024-03-06 17:22:02,664 [INFO] [NoneStorage] - performing PUT at /V4PVO10/myobjects244
2024-03-06 17:22:02,691 [INFO] [NoneStorage] - performing PUT at /V4PVO11/myobjects245
2024-03-06 17:22:02,749 [INFO] [NoneStorage] - performing PUT at /V4PVO12/myobjects246
2024-03-06 17:22:03,110 [INFO] [NoneStorage] - performing PUT at /V4PVO13/myobjects247
2024-03-06 17:22:03,112 [INFO] [NoneStorage] - performing PUT at /V4PVO1/myobjects248
2024-03-06 17:22:03,259 [INFO] [NoneStorage] - performing PUT at /V4PVO2/myobjects249
2024-03-06 17:22:03,299 [INFO] [NoneStorage] - performing PUT at /V4PVO3/myobjects250
2024-03-06 17:22:03,350 [INFO] [NoneStorage] - performing PUT at /V4PVO4/myobjects251
2024-03-06 17:22:03,350 [INFO] [NoneStorage] - performing PUT at /V4PVO5/myobjects252
2024-03-06 17:22:03,354 [INFO] [NoneStorage] - performing PUT at /V4PVO6/myobjects253
2024-03-06 17:22:03,683 [INFO] [NoneStorage] - performing PUT at /V4PVO7/myobjects254
2024-03-06 17:22:03,709 [INFO] [NoneStorage] - performing PUT at /V4PVO8/myobjects255
2024-03-06 17:22:03,710 [INFO] [NoneStorage] - performing PUT at /V4PVO9/myobjects256
2024-03-06 17:22:03,802 [INFO] [NoneStorage] - performing PUT at /V4PVO10/myobjects257
2024-03-06 17:22:03,827 [INFO] [NoneStorage] - performing PUT at /V4PVO11/myobjects258
2024-03-06 17:22:04,022 [INFO] [NoneStorage] - performing PUT at /V4PVO12/myobjects259
